day,team_1,team_2,rpi_1,rpi_2,sos_1,sos_2,history,seed_1,W_1,L_1,n_played_1,H_W_1,H_L_1,A_W_1,A_L_1,N_W_1,N_L_1,avg_ppg_1,avg_ppga_1,avg_fgm_1,avg_fga_1,avg_fgm3_1,avg_fga3_1,avg_ftm_1,avg_fta_1,avg_or_1,avg_dr_1,avg_ast_1,avg_to_1,avg_stl_1,avg_blk_1,avg_pf_1,W_last_8_1,L_last_8_1,n_played_last_8_1,H_W_last_8_1,H_L_last_8_1,A_W_last_8_1,A_L_last_8_1,N_W_last_8_1,N_L_last_8_1,avg_ppg_last_8_1,avg_ppga_last_8_1,avg_fgm_last_8_1,avg_fga_last_8_1,avg_fgm3_last_8_1,avg_fga3_last_8_1,avg_ftm_last_8_1,avg_fta_last_8_1,avg_or_last_8_1,avg_dr_last_8_1,avg_ast_last_8_1,avg_to_last_8_1,avg_stl_last_8_1,avg_blk_last_8_1,avg_pf_last_8_1,seed_2,W_2,L_2,n_played_2,H_W_2,H_L_2,A_W_2,A_L_2,N_W_2,N_L_2,avg_ppg_2,avg_ppga_2,avg_fgm_2,avg_fga_2,avg_fgm3_2,avg_fga3_2,avg_ftm_2,avg_fta_2,avg_or_2,avg_dr_2,avg_ast_2,avg_to_2,avg_stl_2,avg_blk_2,avg_pf_2,W_last_8_2,L_last_8_2,n_played_last_8_2,H_W_last_8_2,H_L_last_8_2,A_W_last_8_2,A_L_last_8_2,N_W_last_8_2,N_L_last_8_2,avg_ppg_last_8_2,avg_ppga_last_8_2,avg_fgm_last_8_2,avg_fga_last_8_2,avg_fgm3_last_8_2,avg_fga3_last_8_2,avg_ftm_last_8_2,avg_fta_last_8_2,avg_or_last_8_2,avg_dr_last_8_2,avg_ast_last_8_2,avg_to_last_8_2,avg_stl_last_8_2,avg_blk_last_8_2,avg_pf_last_8_2,result
134.3472128564764,Villanova,Mt St Marys,0.66,0.509,10.6,-4.1,0.0,1.0,31.0,3.0,34.0,14.0,2.0,9.0,1.0,8.0,0.0,77.6764705882,62.7941176471,26.8529411765,54.0294117647,8.82352941176,23.8235294118,15.1470588235,19.0882352941,8.55882352941,24.7941176471,14.2941176471,11.2058823529,7.23529411765,3.08823529412,14.2058823529,7.0,1.0,1.0,1.0,0.0,3.0,1.0,3.0,0.0,78.75,63.0,26.75,52.75,8.25,22.625,17.0,22.25,7.875,23.625,12.875,11.0,8.0,2.875,12.875,16.0,19.0,15.0,34.0,11.0,11.0,8.0,4.0,0.0,0.0,68.3235294118,68.5882352941,24.4411764706,55.0882352941,7.23529411765,20.2941176471,12.2058823529,18.0882352941,7.64705882353,22.6176470588,11.1470588235,13.1470588235,6.20588235294,4.0,18.0,6.0,2.0,1.0,4.0,1.0,2.0,1.0,0.0,0.0,72.75,66.125,26.5,56.75,6.875,19.875,12.875,20.0,8.875,23.0,11.375,12.0,6.375,2.5,17.0,win
134.3472128564764,Mt St Marys,Villanova,0.509,0.66,-4.1,10.6,0.0,16.0,19.0,15.0,34.0,11.0,11.0,8.0,4.0,0.0,0.0,68.3235294118,68.5882352941,24.4411764706,55.0882352941,7.23529411765,20.2941176471,12.2058823529,18.0882352941,7.64705882353,22.6176470588,11.1470588235,13.1470588235,6.20588235294,4.0,18.0,6.0,2.0,1.0,4.0,1.0,2.0,1.0,0.0,0.0,72.75,66.125,26.5,56.75,6.875,19.875,12.875,20.0,8.875,23.0,11.375,12.0,6.375,2.5,17.0,1.0,31.0,3.0,34.0,14.0,2.0,9.0,1.0,8.0,0.0,77.6764705882,62.7941176471,26.8529411765,54.0294117647,8.82352941176,23.8235294118,15.1470588235,19.0882352941,8.55882352941,24.7941176471,14.2941176471,11.2058823529,7.23529411765,3.08823529412,14.2058823529,7.0,1.0,1.0,1.0,0.0,3.0,1.0,3.0,0.0,78.75,63.0,26.75,52.75,8.25,22.625,17.0,22.25,7.875,23.625,12.875,11.0,8.0,2.875,12.875,lose
134.7344139965075,Wisconsin,VA Tech,0.591,0.583,9.6,8.7,0.0,8.0,25.0,9.0,34.0,15.0,5.0,5.0,2.0,5.0,2.0,71.9411764706,61.4117647059,26.2058823529,58.0,7.55882352941,21.2647058824,11.9705882353,18.5882352941,12.3529411765,24.9705882353,13.5294117647,10.9705882353,6.88235294118,3.55882352941,15.7352941176,4.0,4.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,67.875,64.25,25.125,57.625,8.0,20.875,9.625,17.625,11.75,22.625,11.625,9.625,6.5,2.875,16.375,9.0,22.0,10.0,32.0,15.0,6.0,4.0,2.0,3.0,2.0,79.25,74.40625,27.0,55.125,8.84375,21.96875,16.40625,22.34375,7.3125,25.21875,15.09375,12.125,4.0,2.78125,16.40625,5.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,79.375,77.0,26.0,51.25,10.875,23.0,16.5,20.625,6.125,22.0,15.125,11.0,3.25,2.25,15.125,win
134.7344139965075,VA Tech,Wisconsin,0.583,0.591,8.7,9.6,0.0,9.0,22.0,10.0,32.0,15.0,6.0,4.0,2.0,3.0,2.0,79.25,74.40625,27.0,55.125,8.84375,21.96875,16.40625,22.34375,7.3125,25.21875,15.09375,12.125,4.0,2.78125,16.40625,5.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,79.375,77.0,26.0,51.25,10.875,23.0,16.5,20.625,6.125,22.0,15.125,11.0,3.25,2.25,15.125,8.0,25.0,9.0,34.0,15.0,5.0,5.0,2.0,5.0,2.0,71.9411764706,61.4117647059,26.2058823529,58.0,7.55882352941,21.2647058824,11.9705882353,18.5882352941,12.3529411765,24.9705882353,13.5294117647,10.9705882353,6.88235294118,3.55882352941,15.7352941176,4.0,4.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,67.875,64.25,25.125,57.625,8.0,20.875,9.625,17.625,11.75,22.625,11.625,9.625,6.5,2.875,16.375,lose
134.1567307709057,Virginia,NC-Wilmgton,0.619,0.603,12.3,1.1,0.0,5.0,22.0,10.0,32.0,12.0,5.0,7.0,4.0,3.0,1.0,66.59375,55.625,24.90625,53.65625,7.0,17.8125,9.78125,13.8125,8.8125,24.125,14.25,9.53125,5.65625,4.0625,16.25,4.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,58.375,57.25,20.875,54.5,7.5,19.375,9.125,12.875,9.875,22.0,11.75,8.0,5.0,3.25,16.5,12.0,27.0,5.0,32.0,11.0,3.0,11.0,1.0,5.0,1.0,83.125,74.09375,30.09375,63.125,9.5,26.40625,13.4375,19.5,11.8125,23.125,15.65625,9.78125,6.5,3.4375,19.875,7.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,82.0,75.75,28.875,62.75,8.75,23.375,15.5,21.25,12.5,23.375,15.375,8.75,5.875,3.375,19.75,win
134.1567307709057,NC-Wilmgton,Virginia,0.603,0.619,1.1,12.3,0.0,12.0,27.0,5.0,32.0,11.0,3.0,11.0,1.0,5.0,1.0,83.125,74.09375,30.09375,63.125,9.5,26.40625,13.4375,19.5,11.8125,23.125,15.65625,9.78125,6.5,3.4375,19.875,7.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,82.0,75.75,28.875,62.75,8.75,23.375,15.5,21.25,12.5,23.375,15.375,8.75,5.875,3.375,19.75,5.0,22.0,10.0,32.0,12.0,5.0,7.0,4.0,3.0,1.0,66.59375,55.625,24.90625,53.65625,7.0,17.8125,9.78125,13.8125,8.8125,24.125,14.25,9.53125,5.65625,4.0625,16.25,4.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,58.375,57.25,20.875,54.5,7.5,19.375,9.125,12.875,9.875,22.0,11.75,8.0,5.0,3.25,16.5,lose
134.7454209528554,Florida,E Tenn St,0.65,0.572,11.0,-0.7,0.0,4.0,24.0,8.0,32.0,9.0,4.0,8.0,1.0,7.0,3.0,78.28125,66.5625,26.59375,59.15625,7.75,21.40625,17.34375,23.875,11.5625,25.78125,12.625,11.8125,7.5625,4.84375,18.59375,5.0,3.0,1.0,3.0,2.0,2.0,0.0,0.0,1.0,75.0,70.125,25.5,58.375,8.0,21.75,16.0,21.125,9.625,26.5,11.5,12.5,6.125,3.625,18.375,13.0,25.0,7.0,32.0,11.0,5.0,8.0,2.0,6.0,0.0,79.59375,69.40625,27.53125,55.71875,7.5,19.625,17.03125,24.40625,9.59375,26.15625,14.84375,14.9375,8.59375,4.875,20.34375,7.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,75.5,68.125,25.375,51.875,6.125,16.125,18.625,23.625,7.25,24.125,13.375,13.375,8.625,5.375,19.0,win
134.7454209528554,E Tenn St,Florida,0.572,0.65,-0.7,11.0,0.0,13.0,25.0,7.0,32.0,11.0,5.0,8.0,2.0,6.0,0.0,79.59375,69.40625,27.53125,55.71875,7.5,19.625,17.03125,24.40625,9.59375,26.15625,14.84375,14.9375,8.59375,4.875,20.34375,7.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,75.5,68.125,25.375,51.875,6.125,16.125,18.625,23.625,7.25,24.125,13.375,13.375,8.625,5.375,19.0,4.0,24.0,8.0,32.0,9.0,4.0,8.0,1.0,7.0,3.0,78.28125,66.5625,26.59375,59.15625,7.75,21.40625,17.34375,23.875,11.5625,25.78125,12.625,11.8125,7.5625,4.84375,18.59375,5.0,3.0,1.0,3.0,2.0,2.0,0.0,0.0,1.0,75.0,70.125,25.5,58.375,8.0,21.75,16.0,21.125,9.625,26.5,11.5,12.5,6.125,3.625,18.375,lose
134.65366638873567,S Methodist,USC,0.622,0.588,6.0,5.6,-1.0,6.0,30.0,4.0,34.0,18.0,3.0,8.0,0.0,4.0,1.0,74.5294117647,59.8235294118,26.1764705882,55.2647058824,8.14705882353,20.0588235294,14.0294117647,20.1764705882,11.9411764706,26.4117647059,16.3529411765,10.8529411765,5.73529411765,3.44117647059,14.4117647059,8.0,0.0,1.0,3.0,0.0,2.0,0.0,3.0,0.0,80.375,65.75,27.5,53.0,8.5,19.5,16.875,24.125,9.125,25.625,15.625,9.125,4.25,3.5,14.625,11.0,24.0,9.0,33.0,14.0,5.0,6.0,3.0,4.0,1.0,78.696969697,73.1818181818,27.1818181818,59.9090909091,7.84848484848,21.6060606061,16.4848484848,22.303030303,10.7878787879,25.303030303,15.303030303,11.1515151515,7.24242424242,5.42424242424,15.9090909091,3.0,5.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,76.5,78.375,26.625,57.875,7.125,21.375,16.125,20.875,9.0,22.0,16.0,11.25,7.5,4.375,15.375,win
134.65366638873567,USC,S Methodist,0.588,0.622,5.6,6.0,1.0,11.0,24.0,9.0,33.0,14.0,5.0,6.0,3.0,4.0,1.0,78.696969697,73.1818181818,27.1818181818,59.9090909091,7.84848484848,21.6060606061,16.4848484848,22.303030303,10.7878787879,25.303030303,15.303030303,11.1515151515,7.24242424242,5.42424242424,15.9090909091,3.0,5.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,76.5,78.375,26.625,57.875,7.125,21.375,16.125,20.875,9.0,22.0,16.0,11.25,7.5,4.375,15.375,6.0,30.0,4.0,34.0,18.0,3.0,8.0,0.0,4.0,1.0,74.5294117647,59.8235294118,26.1764705882,55.2647058824,8.14705882353,20.0588235294,14.0294117647,20.1764705882,11.9411764706,26.4117647059,16.3529411765,10.8529411765,5.73529411765,3.44117647059,14.4117647059,8.0,0.0,1.0,3.0,0.0,2.0,0.0,3.0,0.0,80.375,65.75,27.5,53.0,8.5,19.5,16.875,24.125,9.125,25.625,15.625,9.125,4.25,3.5,14.625,lose
