day,team_1,team_2,rpi_1,rpi_2,sos_1,sos_2,history,seed_1,W_1,L_1,n_played_1,H_W_1,H_L_1,A_W_1,A_L_1,N_W_1,N_L_1,avg_ppg_1,avg_ppga_1,avg_fgm_1,avg_fga_1,avg_fgm3_1,avg_fga3_1,avg_ftm_1,avg_fta_1,avg_or_1,avg_dr_1,avg_ast_1,avg_to_1,avg_stl_1,avg_blk_1,avg_pf_1,W_last_8_1,L_last_8_1,n_played_last_8_1,H_W_last_8_1,H_L_last_8_1,A_W_last_8_1,A_L_last_8_1,N_W_last_8_1,N_L_last_8_1,avg_ppg_last_8_1,avg_ppga_last_8_1,avg_fgm_last_8_1,avg_fga_last_8_1,avg_fgm3_last_8_1,avg_fga3_last_8_1,avg_ftm_last_8_1,avg_fta_last_8_1,avg_or_last_8_1,avg_dr_last_8_1,avg_ast_last_8_1,avg_to_last_8_1,avg_stl_last_8_1,avg_blk_last_8_1,avg_pf_last_8_1,seed_2,W_2,L_2,n_played_2,H_W_2,H_L_2,A_W_2,A_L_2,N_W_2,N_L_2,avg_ppg_2,avg_ppga_2,avg_fgm_2,avg_fga_2,avg_fgm3_2,avg_fga3_2,avg_ftm_2,avg_fta_2,avg_or_2,avg_dr_2,avg_ast_2,avg_to_2,avg_stl_2,avg_blk_2,avg_pf_2,W_last_8_2,L_last_8_2,n_played_last_8_2,H_W_last_8_2,H_L_last_8_2,A_W_last_8_2,A_L_last_8_2,N_W_last_8_2,N_L_last_8_2,avg_ppg_last_8_2,avg_ppga_last_8_2,avg_fgm_last_8_2,avg_fga_last_8_2,avg_fgm3_last_8_2,avg_fga3_last_8_2,avg_ftm_last_8_2,avg_fta_last_8_2,avg_or_last_8_2,avg_dr_last_8_2,avg_ast_last_8_2,avg_to_last_8_2,avg_stl_last_8_2,avg_blk_last_8_2,avg_pf_last_8_2,result
134,TX Southern,NC-Asheville,0.453,0.491,4.1424151095,4.1424151095,0.0,16.0,18.0,12.0,30.0,11.0,8.0,4.0,3.0,3.0,1.0,72.8,70.8333333333,24.7333333333,55.2666666667,5.93333333333,18.5,17.4,28.0666666667,13.1666666667,24.8,14.2,15.2333333333,6.43333333333,2.23333333333,18.3,5.0,3.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,73.5,71.25,25.25,53.0,4.75,15.0,18.25,30.125,12.75,25.5,15.625,15.5,5.625,3.25,18.375,16.0,13.0,16.0,29.0,10.0,14.0,2.0,2.0,1.0,0.0,71.2068965517,78.4482758621,24.3793103448,56.7931034483,6.48275862069,18.0,15.9655172414,20.9310344828,12.275862069,23.1724137931,13.0344827586,16.2068965517,7.06896551724,3.0,19.1034482759,4.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,71.125,72.5,23.875,55.125,6.5,18.375,16.875,22.125,12.125,23.25,12.0,14.875,6.5,3.25,19.625,lose
136,Arizona,Vermont,0.663,0.504,4.1424151095,4.1424151095,0.0,1.0,25.0,3.0,28.0,14.0,1.0,11.0,1.0,0.0,1.0,85.2142857143,70.25,30.3214285714,65.7142857143,7.03571428571,20.0714285714,17.5357142857,25.0,15.1785714286,27.6428571429,17.6428571429,14.7857142857,8.46428571429,4.21428571429,17.75,7.0,1.0,1.0,4.0,0.0,3.0,0.0,0.0,1.0,86.625,72.625,31.125,66.25,6.875,20.625,17.5,23.25,13.375,28.0,18.0,12.375,7.625,4.375,19.0,16.0,19.0,10.0,29.0,9.0,7.0,7.0,1.0,3.0,2.0,67.7931034483,63.1379310345,24.8275862069,55.8620689655,5.27586206897,15.4827586207,12.8620689655,19.5517241379,12.9655172414,25.724137931,14.2068965517,14.0689655172,6.86206896552,2.96551724138,15.8965517241,6.0,2.0,1.0,3.0,2.0,1.0,0.0,2.0,0.0,67.25,61.125,25.25,52.5,5.375,14.125,11.375,19.0,12.25,26.0,14.625,13.875,5.75,2.375,16.0,win
136,Memphis,Arizona St,0.597,0.591,4.1424151095,4.1424151095,0.0,7.0,23.0,6.0,29.0,14.0,4.0,7.0,2.0,2.0,0.0,74.5172413793,65.8275862069,26.275862069,60.0,7.0,20.0689655172,14.9655172414,22.8965517241,14.0689655172,25.9655172414,16.6206896552,13.7931034483,7.37931034483,5.06896551724,18.7586206897,7.0,1.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0,75.75,65.0,24.875,58.125,7.625,21.25,18.375,26.875,13.625,27.5,16.0,11.625,5.875,4.625,21.625,10.0,18.0,11.0,29.0,12.0,6.0,4.0,3.0,2.0,2.0,75.9655172414,69.1724137931,27.2068965517,56.8965517241,4.0,12.5862068966,17.5517241379,26.2068965517,13.6896551724,23.3103448276,15.5517241379,14.0,5.20689655172,4.24137931034,19.4137931034,4.0,4.0,1.0,4.0,2.0,0.0,1.0,0.0,1.0,82.625,78.875,29.75,61.0,4.375,13.625,18.75,26.5,13.5,21.5,17.625,12.5,5.625,3.0,20.625,lose
136,Central Mich,Creighton,0.581,0.609,4.1424151095,4.1424151095,0.0,11.0,23.0,6.0,29.0,11.0,5.0,9.0,1.0,3.0,0.0,79.3448275862,73.2413793103,26.6206896552,52.6896551724,6.8275862069,17.9310344828,19.275862069,25.1724137931,10.5862068966,23.275862069,15.6206896552,18.2413793103,7.10344827586,4.0,20.9655172414,7.0,1.0,1.0,2.0,0.0,2.0,1.0,3.0,0.0,84.875,70.75,26.375,51.125,8.125,19.0,24.0,29.25,11.75,22.875,16.375,16.625,8.125,4.125,19.0,6.0,29.0,4.0,33.0,17.0,4.0,7.0,0.0,5.0,0.0,79.2424242424,64.3333333333,28.696969697,57.4545454545,7.9696969697,20.4848484848,13.8787878788,20.0303030303,10.8787878788,23.1818181818,16.8181818182,13.3636363636,8.39393939394,4.45454545455,17.2727272727,7.0,1.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,70.25,61.125,25.5,56.375,5.625,17.5,13.625,19.0,12.125,23.875,14.375,12.25,6.25,4.625,16.75,win
136,NC State,California,0.552,0.593,4.1424151095,4.1424151095,0.0,9.0,18.0,12.0,30.0,13.0,7.0,3.0,3.0,2.0,2.0,72.4,68.0,24.3333333333,53.3333333333,7.96666666667,22.5,15.7666666667,20.4666666667,9.73333333333,22.0333333333,14.6666666667,14.2,7.76666666667,3.06666666667,18.6666666667,4.0,4.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,72.25,73.0,23.875,50.75,7.375,19.125,17.125,21.0,9.0,24.375,13.375,15.875,4.625,3.375,19.5,8.0,21.0,8.0,29.0,13.0,4.0,7.0,1.0,1.0,3.0,74.4827586207,69.7586206897,27.3448275862,58.724137931,6.41379310345,17.0344827586,13.3793103448,19.5172413793,11.2413793103,24.3793103448,16.0,14.1724137931,6.55172413793,2.79310344828,17.1034482759,4.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,70.375,71.0,26.875,61.625,6.375,18.375,10.25,14.375,13.125,22.5,14.75,12.875,4.875,2.625,17.0,lose
136,BYU,Connecticut,0.632,0.584,4.1424151095,4.1424151095,0.0,12.0,23.0,8.0,31.0,13.0,5.0,6.0,1.0,4.0,2.0,72.4516129032,63.6774193548,24.0322580645,51.2580645161,6.1935483871,16.1290322581,18.1935483871,24.1612903226,10.8709677419,24.4193548387,13.4193548387,13.7419354839,6.93548387097,2.51612903226,21.4193548387,6.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,70.5,63.25,24.5,52.25,5.125,16.25,16.375,21.125,10.375,22.0,12.125,10.125,7.125,1.625,20.125,5.0,21.0,9.0,30.0,14.0,6.0,5.0,2.0,2.0,1.0,80.0333333333,71.4,29.5333333333,62.2,6.06666666667,15.7,14.9,22.1,14.7666666667,27.9,15.6333333333,15.8,5.93333333333,7.73333333333,18.4,5.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,76.375,70.0,28.875,60.625,5.375,14.5,13.25,20.625,14.0,28.25,13.875,15.75,5.0,7.625,18.125,lose
136,Duke,Colorado State,0.629,0.497615804878,4.1424151095,4.1424151095,0.0,3.0,24.0,6.0,30.0,15.0,6.0,3.0,0.0,6.0,0.0,81.9666666667,70.4,27.3666666667,60.3333333333,7.33333333333,20.6,19.9,28.0666666667,13.7666666667,23.1,13.8333333333,14.0333333333,8.5,5.13333333333,21.2666666667,6.0,2.0,1.0,2.0,2.0,1.0,0.0,3.0,0.0,77.5,69.0,26.75,55.375,7.0,17.5,17.0,23.75,11.5,20.875,12.75,14.0,8.5,4.375,19.75,14.0,17.0,13.0,30.0,12.0,9.0,3.0,4.0,2.0,0.0,74.0,72.6666666667,26.4,52.1,4.2,11.5666666667,17.0,24.2666666667,10.8,23.4666666667,15.5,16.1333333333,5.33333333333,4.23333333333,20.5666666667,5.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,71.5,71.0,25.0,49.125,4.5,11.875,17.0,23.25,7.75,22.0,14.75,13.375,4.25,4.0,20.375,win
136,Gonzaga,Cincinnati,0.585,0.598,4.1424151095,4.1424151095,0.0,9.0,23.0,8.0,31.0,11.0,2.0,9.0,2.0,3.0,4.0,77.064516129,68.1935483871,26.064516129,55.4516129032,7.16129032258,19.064516129,17.7741935484,24.6451612903,11.935483871,25.3225806452,15.7419354839,14.5483870968,6.8064516129,3.51612903226,18.6451612903,6.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,71.375,63.875,23.375,54.75,6.625,19.0,18.0,24.375,12.5,23.875,14.125,11.875,7.375,4.125,20.125,8.0,17.0,11.0,28.0,12.0,7.0,3.0,3.0,2.0,1.0,67.3214285714,61.5,22.8928571429,56.6785714286,6.67857142857,19.5,14.8571428571,21.5357142857,12.1428571429,23.3928571429,12.2857142857,10.6071428571,5.17857142857,4.25,18.9642857143,3.0,5.0,1.0,3.0,3.0,0.0,1.0,0.0,1.0,66.25,66.75,21.25,57.25,6.5,20.625,17.25,24.75,11.5,24.25,12.125,10.625,4.125,5.25,20.875,win
136,W Kentucky,Illinois,0.569,0.621,4.1424151095,4.1424151095,0.0,13.0,23.0,8.0,31.0,15.0,7.0,5.0,0.0,3.0,1.0,73.0967741935,66.4193548387,25.7096774194,55.9032258065,7.70967741935,21.0322580645,13.9677419355,21.0967741935,12.1612903226,23.2580645161,14.1935483871,15.1612903226,7.06451612903,3.54838709677,18.4516129032,8.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,74.375,64.0,23.625,52.625,6.125,17.125,21.0,31.5,13.625,23.75,12.625,14.625,8.0,2.5,19.625,4.0,24.0,6.0,30.0,14.0,6.0,3.0,0.0,7.0,0.0,75.4333333333,61.4,27.1,55.8,7.43333333333,20.1666666667,13.8,19.1,9.73333333333,25.4,18.2666666667,13.1666666667,7.0,3.1,19.1333333333,7.0,1.0,1.0,2.0,1.0,1.0,0.0,4.0,0.0,77.125,63.75,27.375,55.75,6.25,17.125,16.125,21.625,10.0,24.125,18.625,9.5,7.75,3.375,17.375,lose
136,Utah State,Kansas,0.541,0.643,4.1424151095,4.1424151095,0.0,15.0,22.0,8.0,30.0,11.0,6.0,6.0,2.0,5.0,0.0,65.9666666667,60.1,23.7,51.9333333333,4.03333333333,12.1333333333,14.5333333333,20.2333333333,12.6333333333,22.3666666667,13.9,12.2333333333,5.06666666667,2.0,16.1,6.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,66.25,60.625,23.875,51.375,4.5,13.25,14.0,20.625,11.0,23.625,13.5,11.5,3.25,1.875,16.375,2.0,23.0,7.0,30.0,13.0,2.0,7.0,1.0,3.0,4.0,81.3333333333,66.3666666667,30.2333333333,62.3,4.8,14.1333333333,16.0666666667,24.1333333333,14.3,26.9,16.7333333333,14.9,10.1333333333,4.9,16.7,6.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,78.0,67.75,28.75,61.875,4.375,13.375,16.125,24.25,15.25,28.125,13.75,15.75,8.875,5.875,19.0,lose
