season,team,rpi
2003,Texas ,0.664
2003,Arizona ,0.663
2003,Kentucky ,0.655
2003,Wake Forest ,0.647
2003,Georgia ,0.647
2003,Kansas ,0.643
2003,Marquette ,0.641
2003,Syracuse ,0.640
2003,Oklahoma ,0.638
2003,BYU ,0.632
2003,Pittsburgh ,0.631
2003,Florida ,0.630
2003,Duke ,0.629
2003,Notre Dame ,0.626
2003,Xavier ,0.624
2003,Louisville ,0.621
2003,Utah ,0.621
2003,Illinois ,0.621
2003,Dayton ,0.618
2003,Stanford ,0.618
2003,Oklahoma St ,0.616
2003,Wisconsin ,0.614
2003,Missouri ,0.610
2003,Creighton ,0.609
2003,St Josephs ,0.607
2003,Butler ,0.602
2003,Miss State ,0.600
2003,Purdue ,0.599
2003,Cincinnati ,0.598
2003,S Illinois ,0.598
2003,Memphis ,0.597
2003,Maryland ,0.594
2003,California ,0.593
2003,Weber State ,0.591
2003,Arizona St ,0.591
2003,Alabama ,0.589
2003,Colorado ,0.588
2003,WI-Milwkee ,0.587
2003,Michigan St ,0.586
2003,Gonzaga ,0.585
2003,Connecticut ,0.584
2003,Indiana ,0.582
2003,Seton Hall ,0.582
2003,Central Mich ,0.581
2003,NC-Wilmgton ,0.576
2003,LSU ,0.574
2003,Holy Cross ,0.573
2003,Texas Tech ,0.573
2003,Boston Col ,0.572
2003,Saint Louis ,0.571
2003,UNLV ,0.571
2003,Auburn ,0.570
2003,W Kentucky ,0.569
2003,Oregon ,0.568
2003,Tennessee ,0.568
2003,DePaul ,0.566
2003,Manhattan ,0.565
2003,Wyoming ,0.565
2003,Fresno St ,0.562
2003,Troy ,0.562
2003,U Penn ,0.562
2003,LA Lafayette ,0.562
2003,Austin Peay ,0.560
2003,N Carolina ,0.559
2003,IL-Chicago ,0.558
2003,Providence ,0.558
2003,Villanova ,0.555
2003,Texas A&M ,0.554
2003,Michigan ,0.554
2003,Tulsa ,0.552
2003,NC State ,0.552
2003,W Michigan ,0.550
2003,Col Charlestn ,0.550
2003,Minnesota ,0.550
2003,GA Tech ,0.550
2003,Wagner ,0.547
2003,St Johns ,0.545
2003,Drexel ,0.545
2003,Rice ,0.545
2003,Valparaiso ,0.544
2003,Kent State ,0.543
2003,Rhode Island ,0.543
2003,Ohio State ,0.542
2003,Virginia ,0.542
2003,Ste F Austin ,0.542
2003,Richmond ,0.541
2003,Utah State ,0.541
2003,San Diego ,0.540
2003,Hawaii ,0.539
2003,Mercer ,0.539
2003,Fairfield ,0.539
2003,Sam Hous St ,0.538
2003,S Carolina ,0.535
2003,UC Irvine ,0.535
2003,Temple ,0.535
2003,San Diego St ,0.535
2003,Detroit ,0.534
2003,Charlotte ,0.534
2003,Boston U ,0.534
2003,Chattanooga ,0.533
2003,Nevada ,0.532
2003,E Tenn St ,0.531
2003,N Mex State ,0.531
2003,TN Tech ,0.530
2003,E Washingtn ,0.529
2003,Clemson ,0.528
2003,S Methodist ,0.528
2003,Niagara ,0.526
2003,Geo Mason ,0.525
2003,Siena ,0.525
2003,Central FL ,0.525
2003,UCSB ,0.525
2003,W Virginia ,0.524
2003,Iowa State ,0.524
2003,Mississippi ,0.524
2003,Florida St ,0.522
2003,N Illinois ,0.521
2003,Colorado St ,0.521
2003,Missouri St ,0.518
2003,Princeton ,0.518
2003,Baylor ,0.518
2003,Iowa ,0.518
2003,Miami (OH) ,0.518
2003,Brown ,0.518
2003,Wichita St ,0.517
2003,Murray St ,0.516
2003,San Fransco ,0.516
2003,Georgetown ,0.515
2003,Yale ,0.515
2003,UAB ,0.515
2003,Morehead St ,0.515
2003,St Bonavent ,0.515
2003,VCU ,0.515
2003,Arkansas ,0.514
2003,Iona ,0.514
2003,Ball State ,0.513
2003,Belmont ,0.513
2003,Rutgers ,0.511
2003,Davidson ,0.511
2003,AR Lit Rock ,0.511
2003,App State ,0.509
2003,Pepperdine ,0.509
2003,TX-Arlington ,0.509
2003,Kansas St ,0.509
2003,Vanderbilt ,0.507
2003,S Alabama ,0.507
2003,Delaware ,0.506
2003,S Florida ,0.506
2003,Nebraska ,0.506
2003,Loyola-Chi ,0.505
2003,St Marys ,0.505
2003,USC ,0.505
2003,Vermont ,0.504
2003,Oregon St ,0.503
2003,American ,0.503
2003,Hartford ,0.503
2003,Ohio ,0.502
2003,E Carolina ,0.502
2003,Evansville ,0.501
2003,Idaho State ,0.500
2003,Middle Tenn ,0.498
2003,Toledo ,0.497
2003,Denver ,0.497
2003,Air Force ,0.497
2003,Geo Wshgtn ,0.496
2003,Tulane ,0.495
2003,Prairie View ,0.495
2003,UCLA ,0.494
2003,LA Tech ,0.494
2003,Bowling Grn ,0.494
2003,IUPUI ,0.493
2003,S Car State ,0.492
2003,Delaware St ,0.492
2003,Oral Roberts ,0.491
2003,Akron ,0.491
2003,NC-Asheville ,0.491
