season,team,sos
2007, ,24.1
2007,Hillsdale ,23.6
2007,Presbyterian ,23.0
2007,SIU Edward ,21.8
2007,Washburn ,21.3
2007,Rockhurst ,20.8
2007, ,20.6
2007,Lincoln ,20.6
2007, ,20.5
2007, ,20.5
2007,Chaminade ,20.3
2007,N Carolina ,19.9
2007,Wartburg ,19.2
2007,Fla Gulf Cst ,18.8
2007,Duke ,18.6
2007,Kentucky ,18.6
2007,GA Tech ,18.3
2007,Florida ,17.9
2007,Lubbock Christian ,17.8
2007,Neb Omaha ,17.8
2007,Florida St ,17.6
2007,Southwest State ,17.5
2007,Arizona ,17.5
2007,Maryland ,17.5
2007,Ohio State ,17.4
2007,Villanova ,17.4
2007,Georgetown ,17.3
2007,Miles College ,17.2
2007,Tennessee ,17.2
2007,UCLA ,17.2
2007,Indiana ,17.1
2007,Clemson ,17.1
2007,Georgia ,17.1
2007,Holy Names ,17.0
2007, ,17.0
2007,Wisconsin ,16.8
2007,Western New Mexico ,16.8
2007,Michigan St ,16.8
2007,Texas ,16.7
2007,Boston Col ,16.7
2007,Texas A&M ,16.7
2007,Pittsburgh ,16.5
2007,Miss State ,16.5
2007,VA Tech ,16.3
2007,Kansas ,16.3
2007,Arkansas ,16.1
2007,Southern Arkansas ,15.9
2007, ,15.9
2007,Oklahoma ,15.9
2007,LSU ,15.8
2007,DePaul ,15.6
2007,S Illinois ,15.6
2007,Notre Dame ,15.5
2007,Vanderbilt ,15.5
2007,Southern-New Orleans ,15.4
2007,Alabama ,15.3
2007, ,15.3
2007,McMurry ,15.3
2007,Virginia ,15.3
2007,Purdue ,15.3
2007,Illinois ,15.2
2007,Marquette ,15.1
2007,Louisville ,15.1
2007,Creighton ,15.0
2007,Stanford ,15.0
2007, ,15.0
2007,Oregon ,14.9
2007,USC ,14.8
2007,Quincy ,14.8
2007,Texas Tech ,14.8
2007, ,14.7
2007,California ,14.7
2007,Missouri St ,14.7
2007,Connecticut ,14.6
2007,Wake Forest ,14.5
2007,Oklahoma St ,14.5
2007,Michigan ,14.5
2007,W Virginia ,14.5
2007,Mississippi ,14.5
2007,Bradley ,14.4
2007,Iowa ,14.4
2007,Syracuse ,14.4
2007,Wash State ,14.3
2007,Wichita St ,14.3
2007,NC State ,14.3
2007, ,14.2
2007,Miami (FL) ,14.2
2007,UC San Diego ,14.1
2007,Memphis ,14.1
2007,Kansas St ,14.0
2007,Washington ,13.9
2007,Gonzaga ,13.8
2007, ,13.8
2007,Missouri ,13.7
2007,S Carolina ,13.7
2007,Mayville State ,13.7
2007,N Iowa ,13.7
2007,West Florida ,13.7
2007,Auburn ,13.7
2007, ,13.6
2007, ,13.4
2007,Providence ,13.4
2007, ,13.3
2007,Valley City State ,13.2
2007,Cal State San Bernardino ,13.1
2007,Oakland City ,13.1
2007, ,13.0
2007,Nebraska ,12.8
2007,Indiana St ,12.8
2007,Caldwell ,12.8
2007,Air Force ,12.8
2007, ,12.7
2007,Abilene Christian ,12.6
2007,Northern Michigan ,12.5
2007,Evansville ,12.5
2007,UNLV ,12.5
2007,Illinois St ,12.4
2007,Calumet ,12.3
2007,Baylor ,12.2
2007, ,12.2
2007,Seton Hall ,12.2
2007,Cincinnati ,12.1
2007,BYU ,12.0
2007,Johnson & Wales U. (RI) ,12.0
2007,Xavier ,12.0
2007,St. Edwards ,12.0
2007,Minnesota ,12.0
2007,Arizona St ,12.0
2007,Point Loma ,11.7
2007,Drake ,11.7
2007,Sonoma State ,11.6
2007,Milligan ,11.5
2007,Butler ,11.5
2007, ,11.4
2007,Occidental ,11.4
2007,Carroll ,11.4
2007,Houston ,11.4
2007,Haskell ,11.3
2007,Utah ,11.3
2007,CS Bakersfld ,11.3
2007,Defiance ,11.3
2007,Iowa State ,11.3
2007,Penn State ,11.2
2007,St Johns ,11.2
2007,Winthrop ,11.2
2007,San Diego St ,11.2
2007,Colorado College ,11.2
2007,Northwestern ,11.2
2007,Evergreen State ,11.0
2007,Lewis-Clark St. ,11.0
2007,Eastern Oregon ,11.0
2007,North Greenville ,11.0
2007,UAB ,11.0
2007, ,11.0
2007,Miami (OH) ,10.8
2007,Nevada ,10.8
2007,U Mass ,10.8
2007,Cameron ,10.8
2007,Kent State ,10.7
2007,Belhaven College ,10.7
2007,Marian College ,10.6
2007,Tennessee Wesleyan ,10.6
2007,Colorado ,10.6
2007,S Florida ,10.5
2007,Montana Tech ,10.5
2007,Wyoming ,10.5
2007,Santa Clara ,10.5
2007,Saint Louis ,10.5
2007,St Josephs ,10.4
2007,Hawaii ,10.4
2007, ,10.3
2007,Drexel ,10.3
2007, ,10.3
2007,Flagler College ,10.3
2007,Toledo ,10.2
2007,Colorado St ,10.2
2007, ,10.2
2007, ,10.2
2007,Howard Payne ,10.1
2007,Old Dominion ,10.1
2007,Temple ,10.0
2007,Utah State ,9.9
2007,App State ,9.9
2007,Rutgers ,9.9
2007,W Michigan ,9.9
2007,John Carroll ,9.9
2007,New Mexico ,9.8
2007,Western State ,9.7
2007,Geo Mason ,9.6
2007,Western Oregon ,9.5
2007,St Marys ,9.5
2007,San Jose St ,9.5
2007,Geo Wshgtn ,9.5
2007,Cincinnati Christian ,9.4
2007,Dayton ,9.4
2007,Oregon St ,9.4
2007,Berea College ,9.4
2007,Boise State ,9.3
2007,St. Gregorys ,9.3
2007,VCU ,9.3
2007,Detroit ,9.2
2007, ,9.2
2007,Davidson ,9.2
2007,Marshall ,9.1
2007,Kenyon ,9.1
2007,Oral Roberts ,9.0
2007,WI-Milwkee ,9.0
2007,Ohio ,9.0
2007,Akron ,9.0
2007,IL-Chicago ,9.0
2007,Chicago St ,8.9
2007,Rhode Island ,8.9
2007,San Fransco ,8.9
2007,Bluefield College ,8.8
2007,Loyola-Chi ,8.8
2007,East-West University ,8.8
2007,Charlotte ,8.7
2007,Loyola Mymt ,8.6
2007,Brevard ,8.5
2007,N Mex State ,8.5
2007,Fresno St ,8.5
2007,Oakland ,8.5
2007,Southwestern Oklahoma St. ,8.4
2007,Col Charlestn ,8.4
2007,TX Christian ,8.4
2007,Hofstra ,8.4
2007,TX El Paso ,8.3
2007,Wright State ,8.3
2007,LA Tech ,8.3
2007,Cal. State - Monterey Bay ,8.3
2007,Bridgewater (VA) ,8.2
2007, ,8.2
2007,King College ,8.2
2007,Erskine ,8.1
2007,Tulsa ,8.1
2007,Fordham ,8.1
2007, ,8.0
2007,Rice ,8.0
2007,St. Thomas Aquinas ,8.0
2007,Cumberland ,7.9
2007,Valparaiso ,7.9
2007,Lyon ,7.8
2007,Arkansas Tech ,7.8
2007,Bucknell ,7.8
2007,Montreat ,7.7
2007,Tusculum ,7.7
2007,Youngs St ,7.7
2007,NC-Wilmgton ,7.7
2007,S Mississippi ,7.6
2007,Northeastrn ,7.6
2007,Pepperdine ,7.6
2007,Idaho State ,7.6
2007,Ball State ,7.5
2007,Denison ,7.5
2007,Buffalo ,7.5
2007,Loyola (LA) ,7.5
2007,Master's College ,7.5
2007, ,7.5
2007,Holy Cross ,7.3
2007,S Methodist ,7.3
2007,Tulane ,7.3
2007,Tennessee Temple ,7.3
2007,WI-Grn Bay ,7.2
2007,Towson ,7.2
2007,Furman ,7.1
2007,San Diego ,7.1
2007,Duquesne ,7.0
2007,Cleveland St ,7.0
2007,U Penn ,7.0
2007,Central FL ,7.0
2007,N Illinois ,7.0
2007,Central Mich ,6.9
2007,Notre Dame College ,6.8
2007,West Virginia Tech ,6.8
2007,Baker ,6.8
2007,Fisk ,6.8
2007,Lg Beach St ,6.8
2007,UC Irvine ,6.7
2007,W Carolina ,6.7
2007,NC-Grnsboro ,6.7
2007,Montana Western ,6.6
2007,St. Mary's (MN) ,6.5
2007,Schreiner ,6.5
2007,Great Falls ,6.5
2007,Pacific ,6.5
2007,W Kentucky ,6.5
2007,E Michigan ,6.4
2007,Lenoir-Rhyne ,6.4
2007,Incarnate Word ,6.4
2007,Millsaps ,6.4
2007,Union TENN ,6.4
2007,TX A&M-CC ,6.3
2007,Chowan ,6.3
2007,Idaho ,6.3
2007,Rochester College ,6.3
2007,Limestone ,6.2
2007,Portland ,6.2
2007, ,6.1
2007,Richmond ,6.0
2007,Slippery Rock ,5.9
2007,William Carey ,5.9
2007,IUPUI ,5.9
2007,E Washingtn ,5.9
2007,Chattanooga ,5.9
2007,N Dakota St ,5.9
2007,Sam Hous St ,5.8
2007,N Arizona ,5.8
2007,Haverford ,5.8
2007,Bowling Grn ,5.8
2007,Elon ,5.8
2007,E Carolina ,5.7
2007,Houghton ,5.7
2007,Goucher ,5.7
2007,GA Southern ,5.6
2007,Wofford ,5.6
2007,Wesley College ,5.5
2007,UMKC ,5.5
2007,UCSB ,5.4
2007,Fairfield ,5.4
2007,St. Andrews Presbyterian ,5.4
2007,Austin College ,5.4
2007,Albany ,5.4
2007,Texas-Tyler ,5.4
2007,Georgia St ,5.4
2007,S Utah ,5.3
2007,Montana ,5.2
2007,NC-Asheville ,5.2
2007,NW State ,5.1
2007,Waldorf ,5.1
2007,Centenary ,5.1
2007,Yale ,5.1
2007,Covenant ,5.0
2007,Reinhardt ,5.0
2007,Florida Memorial ,5.0
2007, ,5.0
2007, ,4.9
2007,Middle Tenn ,4.9
2007,St. Leo ,4.9
2007,Texas-Dallas ,4.9
2007,Tiffin ,4.9
2007,Wm & Mary ,4.9
2007,Vermont ,4.9
2007,Delaware ,4.9
2007,American ,4.8
2007,James Mad ,4.8
2007,Belmont ,4.7
2007,Boston U ,4.7
2007,Mercy ,4.7
2007, ,4.7
2007, ,4.7
2007,Weber State ,4.7
2007,Brown ,4.6
2007,Portland St ,4.6
2007,Cal Poly ,4.6
2007,NC-Pembroke ,4.6
2007,Utah Val St ,4.6
2007,Marist ,4.6
2007,Nicholls St ,4.5
